"DocumentID (has format doc-x-xx). 

Write ""doc-x-xx"" with the x's having the appropriate numbers for the document you are reviewing. Include the ""doc-"" prefix. Use lowercase letters.",Parties Involved. Look at the top of the form for the parties involved in the case.,Kind of personal data involved in the case (select all that apply). This is the data that is the subject of the dispute.,Legal Issue,Document Type,Date of Document or Case,Type of court.,"Something interesting? Potential Problematic Strategic Use of HIPAA. This applies to cases where HIPAA is being used to undermine lawsuits that seeks to assert individual rights (e.g. lawsuits about environmental harms, workplace injuries or drug harms or just feels ""creepy"") [OPTIONAL]",,,,,,
doc-5-66,Neither Party is a Covered Entity,"Educational or Professional Licensing Data, Real Estate Information",,Expert Witness Reports,2014,Can't tell,,,,,,,
doc-5-96,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2017,Federal court,,,,,,,
doc-9-06,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2020,State court,,,,,,,
doc-6-38,One of the parties is a medical device company. Unsure whether they handle PHI and thus are considered business associates.,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Federal court,,,,,,,
doc-5-97,Government vs. Healthcare Entity (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2008,Federal court,,,,,,,
doc-6-62,Individual vs. Health Insurance Plan (Covered Entity),Medical information not covered by HIPAA (e.g. aggregate prescription data),,Depositions,2014,Federal court,,,,,,,
doc-9-07,Can not tell - one of the parties if Bestwall LLC,"Personal Health Information (including biometrics, such as DNA), Demographics",,Court Rulings/Decisions,2022,State court,,,,,,,
doc-5-66,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Legal or Criminal Information",,Expert Witness Reports,2014,State court,,,,,,,
doc-9-08,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2013,State court,,,,,,,
doc-5-98,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Depositions,2019,Federal court,,,,,,,
doc-5-67,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2011,Can't tell,,,,,,,
doc-7-2,individual vs Veterans Affairs,"Personal Health Information (including biometrics, such as DNA), Re-identification",,Expert Witness Reports,2015,Federal court,Re-identification case @ the VA's,,,,,,
doc-9-09,Individual vs. Rite Aid (pharmacy),telecommunications information,,Court Rulings/Decisions,2017,State court,,,,,,,
doc-5-68,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Can't tell,,,,,,,
doc-8-13,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2022,Can't tell,vitae,,,,,,
doc-3-14,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Depositions, Expert",2016,State court,Expert reviewed approximately 400 cases,,,,,,
doc-9-13,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Not known,2011,Federal court,,,,,,,
Oct-33,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Legal Briefs,2010,Federal court,,,,,,,
doc-5-62,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2012,Can't tell,,,,,,,
doc-11-53,I am not sure if the secretary of health and human services is covered,Not applicable (e.g. because you are dealing with a resume),,Legal Briefs,2019,Federal court,,,,,,,
doc-5-69,Individual vs. Doctor,"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Expert Witness Reports,2021,State court,,,,,,,
doc-2-1,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Can't tell,Professor Sweeney's Vitae,,,,,,
doc-2-21,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2010,Federal court,,,,,,,
doc-3-15,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,"Depositions, Expert",2013,Federal court,,,,,,,
doc-2-41,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2013,Can't tell,,,,,,,
doc-5-63,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Educational or Professional Licensing Data, Not applicable (e.g. because you are dealing with a resume)",,Expert Witness Reports,2022,State court,,,,,,,
doc-5-70,Neither Party is a Covered Entity,"Educational or Professional Licensing Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2007,State court,,,,,,,
doc-5-64,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2019,State court,,,,,,,
doc-3-16,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Partial Expert Testimony,2014,State court,Looks like the investigator used HIPAA about other patients and asked not to violate HIPAA in the answer. (If I understood right),,,,,,
doc-5-59,Unknown,Not applicable (e.g. because you are dealing with a resume),,"Vitae, Expert Publications",Not known,Can't tell,,,,,,,
doc-5-65,Healthcare Provider vs. Healthcare Provider (Covered Entity),Legal or Criminal Information,,Depositions,2012,State court,,,,,,,
doc-5-66,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Legal or Criminal Information",,Expert Witness Reports,2014,State court,,,,,,,
doc-5-67,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2011,Can't tell,,,,,,,
doc-5-71,Business Associate of Covered Entity (Covered Entity),Internet or Network Activity,,Report,2011,State court,,,,,,,
doc-5-68,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Can't tell,,,,,,,
doc-5-69,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Expert Witness Reports,2021,State court,,,,,,,
doc-5-72,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2009,State court,,,,,,,
doc-5-73,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data, Credit Information",,Expert Witness Reports,2021,State court,,,,,,,
doc-6-70,Business Associate of Covered Entity (Covered Entity),Legal or Criminal Information,,Depositions,2007,State court,,,,,,,
doc-5-74,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Financial Data, Real Estate Information, Credit Information",,Expert Witness Reports,2017,State court,,,,,,,
doc-5-75,Business Associate of Covered Entity (Covered Entity),"Financial Data, Credit Information, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2016,State court,,,,,,,
doc-3-21,Neither Party is a Covered Entity,Sexual Abuse,,Expert Witness Reports,2016,Federal court,,,,,,,
doc-5-76,Resume,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,State court,,,,,,,
doc-5-77,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,State court,,,,,,,
doc-5-78,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2023,State court,,,,,,,
doc-3-22,Neither Party is a Covered Entity,Financial Data,,Depositions,2008,Federal court,,,,,,,
doc-3-23,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2015,Federal court,,,,,,,
doc-3-24,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2022,Can't tell,,,,,,,
doc-3-25,Government vs. Healthcare Entity (Covered Entity),"Financial Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2009,Federal court,,,,,,,
doc-3-26,Expert Resume,Not applicable (e.g. because you are dealing with a resume),,Vitae,2008,Can't tell,,,,,,,
doc-3-27,Individual vs Government,Not applicable (e.g. because you are dealing with a resume),,Vitae,2008,Can't tell,,,,,,,
doc-3-28,Individual vs Individual,Not applicable (e.g. because you are dealing with a resume),,Vitae,2007,Can't tell,,,,,,,
doc-3-37,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,"Depositions, Expert Witness Reports",2020,Federal court,HIPAA only mentioned in passing. HIPAA was only brought up because the counsel on behalf of defendant asked the expert witness (a doctor) what the patient's name was regarding a past procedure not directly related to the parties of the case. The counsel on behalf of the plaintiff objected and instructed the expert witness to not answer. The expert witness did not.,,,,,,
doc-3-38,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Depositions, Expert Witness Reports",2010,Federal court,HIPAA is only mentioned in the contact of asking if expert has been used by other people who alleged the same injury by drug discussed. This is not a document determining a HIPAA violation.,,,,,,
doc-3-29,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2018,State court,,,,,,,
doc-3-30,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Can't tell,,,,,,,
doc-3-31,Individual vs. Healthcare Provider (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Can't tell,,,,,,,
doc-3-32,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2020,Federal court,,,,,,,
doc-3-33,Individual vs Individual,"Personal Health Information (including biometrics, such as DNA)",,Depositions,2018,State court,,,,,,,
doc-3-34,Individual vs Individual,Not applicable (e.g. because you are dealing with a resume),,Vitae,2014,Can't tell,,,,,,,
doc-3-35,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2020,Federal court,,,,,,,
doc-3-36,Neither Party is a Covered Entity,"Demographics, Geo-location or GPS Data, Legal or Criminal Information",,Depositions,2017,Federal court,,,,,,,
doc-5-80,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2020,Federal court,,,,,,,
doc-2-27,Government vs. Healthcare Entity (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Vitae,2019,Federal court,,,,,,,
doc-2-28,Government vs. Non-Profit Organization,"Personal Health Information (including biometrics, such as DNA), Demographics",,Depositions,2019,Federal court,,,,,,,
doc-2-29,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-2-30,Individual vs. Medical Device Manufacturer,"Personal Health Information (including biometrics, such as DNA), Financial Data",,Depositions,2016,Federal court,,,,,,,
doc-2-31,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2016,Federal court,,,,,,,
doc-2-32,Government vs. Individual,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-2-33,Government vs. Healthcare Provider,"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2020,Federal court,,,,,,,
doc-2-34,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,Federal court,,,,,,,
doc-2-35,University vs. Individual Researcher,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2004,Federal court,,,,,,,
doc-2-36,Individual vs. Corporation,"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2023,Federal court,,,,,,,
doc-5-81,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2021,Federal court,"HIPAA’s de-identification requirements may limit pricing transparency in medical cost disputes. The 80th percentile methodology, used to determine ""usual and customary"" charges, could reinforce high medical costs, making it harder for individuals to challenge billing disputes.",,,,,,
doc-5-82,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-5-83,Neither Party is a Covered Entity,Financial Data,,Expert Witness Reports,2016,Federal court,,,,,,,
doc-5-84,Individual vs. Business Entity (Neither Party is a Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-5-85,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-5-41,Individual vs pension plan,not applicable (resume),,Vitae,2008,State court,,,,,,,
doc-5-70,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Internet or Network Activity",,Expert Witness Reports,2011,State court,,,,,,,
doc-6-59,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2012,Federal court,,,,,,,
doc-6-60,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2018,Federal court,,,,,,,
doc-5-72,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2009,State court,,,,,,,
doc-5-86,"he case appears to be between an individual (Sharon Ramsey) and a corporation (Blue Spruce Investment Corporation),","Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data",,Expert Witness Reports,2023,Federal court,,,,,,,
doc-6-61,Resume,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Can't tell,,,,,,,
doc-3-39,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-5-73,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Expert Witness Reports,2021,State court,,,,,,,
doc-5-42,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Financial Data",,Expert Witness Reports,2010,State court,A case on a doctor doing a human subject research without seeking necessary IRB approval and failing to obtain a required waiver of HIPAA authorization for the activities,,,,,,
doc-5-87,Government vs. Healthcare Entity (Covered Entity),Medical information not covered by HIPAA (e.g. aggregate prescription data),,Vitae,2013,Federal court,,,,,,,
doc-5-74,medical center vs healthcare provider,"Personal Health Information (including biometrics, such as DNA), Demographics, case management and discharge",,Expert Witness Reports,2017,State court,,,,,,,
doc-5-88,The document does not provide enough information to determine whether any of the parties involved are covered entities,Not applicable,,Vitae,2004,Federal court,,,,,,,
doc-5-75,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2016,State court,,,,,,,
doc-3-40,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Depositions, Expert Witness Reports",2014,Federal court,,,,,,,
doc-5-43,Healthcare Provider vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2018,Federal court,,,,,,,
doc-6-62,Business Associate of Covered Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Court Rulings/Decisions, Expert Witness Reports",2014,Federal court,,,,,,,
doc-5-76,Federal Trade Commission v. Cyberspy Software,Not applicable (e.g. because you are dealing with a resume),,Vitae,2009,Can't tell,,,,,,,
doc-6-63,Neither Party is a Covered Entity,Educational or Professional Licensing Data,,Vitae,2010,Federal court,,,,,,,
doc-6-64,Neither Party is a Covered Entity,Educational or Professional Licensing Data,,Vitae,2011,Federal court,,,,,,,
doc-6-65,Neither Party is a Covered Entity,Educational or Professional Licensing Data,,Vitae,2010,Can't tell,,,,,,,
doc-6-66,Individual vs. Business,"Personal Health Information (including biometrics, such as DNA), Demographics, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Depositions,2021,Federal court,,,,,,,
doc-3-41,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2018,Federal court,,,,,,,
doc-6-67,Neither Party is a Covered Entity,Educational or Professional Licensing Data,,Vitae,2008,Federal court,,,,,,,
doc-6-68,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2013,State court,,,,,,,
doc-5-44,Individual vs State,"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data",,Expert Witness Reports,2021,Federal court,,,,,,,
doc-6-69,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2013,State court,,,,,,,
doc-6-70,Neither Party is a Covered Entity,Educational or Professional Licensing Data,,Vitae,2005,Federal court,,,,,,,
doc-6-71,Neither Party is a Covered Entity,Legal or Criminal Information,,Vitae,2006,Federal court,,,,,,,
doc-6-72,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Expert Witness Reports,2011,State court,,,,,,,
doc-6-73,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Depositions,2011,State court,,,,,,,
doc-5-89,"CZ Services, Inc. v. Express Scripts Holding Company, et al.. This indicates that the case involves two businesses rather than an individual versus a healthcare provider or insurance plan, a government entity, or a business associate",Not applicable (e.g. because you are dealing with a resume),,Vitae,2020,Federal court,,,,,,,
doc-5-90,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2023,Federal court,,,,,,,
doc-5-91,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2017,Federal court,,,,,,,
doc-5-92,"Based solely on the information provided, the parties involved are an individual (Andre Bellecourt) versus a business (Constitution State Services, LLC).","Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data, Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-5-77,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Financial Data",,Expert Witness Reports,2022,State court,,,,,,,
doc-5-78,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Educational or Professional Licensing Data, Financial Data",,Expert Witness Reports,2023,State court,,,,,,,
doc-5-93,this case involves a company versus an insurance company.,"Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data",,Expert Witness Reports,2016,Federal court,,,,,,,
doc-5-93,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2016,Federal court,,,,,,,
doc-5-94,"It is important to note that Pruco Life Insurance Company is the defendant, and based on the document, the plaintiff is Fondation DIXHUIT","Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data,",,Expert Witness Reports,2016,Federal court,,,,,,,
doc-3-42,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2008,State court,,,,,,,
doc-3-43,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2022,State court,,,,,,,
doc-4-1,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2006,Federal court,Social worker was arrested for not granting access to patient despite being compliant with HIPAA,,,,,,
doc-4-2,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2022,Federal court,,,,,,,
doc-4-3,Business Associate of Covered Entity (Covered Entity),Not applicable (e.g. because you are dealing with a resume),,Expert Witness Reports,2021,Federal court,,,,,,,
doc-4-4,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Depositions,2012,Federal court,,,,,,,
doc-4-5,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Legal Briefs,2011,State court,,,,,,,
doc-4-7,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2013,State court,,,,,,,
doc-5-45,Individual vs. Health Insurance Plan (Covered Entity),unknown (resume of an expert),,Vitae,2014,Federal court,,,,,,,
doc-5-95,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data",,Expert Witness Reports,2015,Federal court,,,,,,,
review of doc-5-96,Individual vs. Health Insurance Plan (Covered Entity),"Demographics, Financial Data, Legal or Criminal Information",,Depositions,2017,Federal court,,,,,,,
doc-5-97,t is not possible to determine from the source the type of parties involved in the case,it is not possible to determine,,Vitae,2008,Federal court,,,,,,,
doc-6-74,Neither Party is a Covered Entity,Educational or Professional Licensing Data,,Vitae,2009,Can't tell,,,,,,,
doc-6-75,Neither Party is a Covered Entity,Educational or Professional Licensing Data,,Vitae,2009,Can't tell,,,,,,,
doc-5-98,Individual vs. Health Insurance Plan (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2019,Federal court,,,,,,,
doc-6-76,Neither Party is a Covered Entity,Academic and Medical Publications,,Vitae,2023,Can't tell,,,,,,,
doc-6-77,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2010,Can't tell,,,,,,,
doc-6-78,Neither Party is a Covered Entity,Not applicable (e.g. because you are dealing with a resume),,Vitae,2018,Can't tell,,,,,,,
Doc-5-23,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Medical information not covered by HIPAA (e.g. aggregate prescription data)",,Expert Witness Reports,2015,State court,,,,,,,
Doc-5-24,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Depositions,2013,State court,,,,,,,
doc-9-10,Individual vs. Government Officials,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Court Rulings/Decisions,2010,Federal court,"The court addresses HIPAA non-compliance by defendants in handling the plaintiff's medical records. Despite this, the court does not strike the exhibit but seals it to protect the plaintiff's health information.",,,,,,
doc-10-30,Healthcare Provider vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2014,Federal court,Plaintiff's Motion for a Temporary Restraining Order was granted in part and denied in part.,,,,,,
doc-5-25,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data, Geo-location or GPS Data",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-9-11,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2018,Federal court,,,,,,,
doc-10-31,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2016,Federal court,Expansive view and application of HIPAA struck down by court.,,,,,,
doc-5-26,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,2014,Federal court,,,,,,,
doc-10-32,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2022,Federal court,Decision focused on a defective HIPAA authorization form submitted by plantiff.,,,,,,
doc-5-27,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,,2008,Federal court,,,,,,,
doc-10-33,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2010,Federal court,"According to defendant, plaintiff's discovery demands would have violated HIPAA protections.",,,,,,
Doc-5-28,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2006,Federal court,,,,,,,
doc-5-29,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA), Demographics, Financial Data",,,2017,Federal court,,,,,,,
doc-10-34,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Financial Data",,Court Rulings/Decisions,2017,Federal court,Document focused on defendant's motion to seal documents.,,,,,,
doc-5-30,Unclear,"Personal Health Information (including biometrics, such as DNA)",,Vitae,2014,Federal court,,,,,,,
doc-10-35,Individual vs. Individuals,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2005,Federal court,Ruling focused on Qualifying Protective Order for defendants.,,,,,,
doc-5-31,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Educational or Professional Licensing Data",,Vitae,2017,Federal court,,,,,,,
doc-5-32,Government v insurance provider,"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2017,Federal court,,,,,,,
doc-10-36,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2021,Federal court,Focused on technology and PII in regards to HIPAA.,,,,,,
doc-5-33,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Vitae,2019,Federal court,,,,,,,
doc-10-37,Individual vs. Government,"Personal Health Information (including biometrics, such as DNA), Legal or Criminal Information",,Court Rulings/Decisions,2011,Federal court,Focused on whether a stamp revealing treatment center is a violation of HIPAA.,,,,,,
doc-5-34,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics, Legal or Criminal Information",,Expert Witness Reports,2018,State court,,,,,,,
doc-10-38,Individual vs. Corporation,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2020,Federal court,Motion to quash was denied by court.,,,,,,
doc-10-39,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2006,Federal court,,,,,,,
Doc-5-35,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Demographics",,Expert Witness Reports,,Federal court,,,,,,,
doc-10-40,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2013,Federal court,Subpoena of HIPAA documents contested in court.,,,,,,
doc-5-36,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Expert Witness Reports,2009,Federal court,,,,,,,
doc-5-37,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Vitae,2004,Federal court,,,,,,,
doc-5-38,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Vitae,2014,State court,,,,,,,
doc-10-41,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2013,Federal court,Centered on a gender discrimination case and cited potential HIPAA protections.,,,,,,
doc-10-42,Government vs. Healthcare Entity (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,"Court Rulings/Decisions, Settlement Agreements",2019,Federal court,Large case brought by several US states.,,,,,,
doc-10-43,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2017,Federal court,,,,,,,
doc-10-43,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA), Internet or Network Activity",,Court Rulings/Decisions,2022,Federal court,Creepy digital surveillance of user activity.,,,,,,
doc-10-45,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2013,Federal court,,,,,,,
doc-10-46,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2006,Federal court,,,,,,,
doc-10-47,Neither Party is a Covered Entity,"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2012,Federal court,Convergence of FOIA.,,,,,,
doc-10-48,Individual vs. Healthcare Provider (Covered Entity),"Personal Health Information (including biometrics, such as DNA)",,Court Rulings/Decisions,2021,Federal court,,,,,,,
