document id,type of court response,type of court reasoning,parties involved response,parties involved reasoning,kind of personal data involved in the case response,kind of personal data involved in the case reasoning,date of document or case response,date of document or case reasoning,document type response,document type reasoning,something interesting response,something interesting reasoning,"does this document contain expert opinions, credentials, or testimony response","does this document contain expert opinions, credentials, or testimony reasoning",evaluator
doc-8-18,federal court,"the document specifies this is a case in the 'united states district court, s.d. west virginia' (southern district of west virginia), which is a federal court.",neither party is a covered entity,"the case involves lee ann sommerville (individual) and a class of citizens vs. union carbide corporation, which is a chemical company, not a healthcare provider, health plan, or healthcare clearinghouse covered under hipaa.",personal health information,"the document proposes a medical monitoring program that would collect health information from class members exposed to ethylene oxide. it specifically mentions creating a database with 'double de-identified data' of patients' medical information, including diagnostic test results, cancer diagnoses, and treatment outcomes.",2023,"the document is dated february 17, 2023, as shown at the top of the report.",expert witness reports,"this is an expert report from kevin knopf, m.d., m.p.h., who was asked by plaintiff's counsel to design a medical monitoring program. the document is titled 'expert report of kevin knopf, m.d., m.p.h.'",,the document actually uses hipaa as a framework for ensuring privacy protection in the proposed medical monitoring program. it mentions a 'hipaa-qualified third-party administrator' and discusses de-identification methodologies to maintain patient anonymity. hipaa is not being used to undermine the lawsuit but rather as part of the proposed solution.,yes,"this document is entirely an expert report from kevin knopf, m.d., m.p.h., a hematologist and oncologist. it includes his credentials (education at mit and ucsf, fellowship at national cancer institute, current position as division chief of hematology and oncology), and his expert opinions on designing an appropriate medical monitoring program for people exposed to ethylene oxide.",claude
doc-8-19,federal court,"the document header clearly indicates this is from the 'united states district court, d. kansas' (no. 16-1282-jtm-geb), which is a federal district court.",other,"the case involves former employees (donetta raymond, frederick heston, jilun sha, and others) suing their employer (spirit aerosystems holdings, inc. and spirit aerosystems, inc.) for alleged age and disability discrimination during a reduction-in-force. the employer provides health benefits but is primarily an aerospace company, not a healthcare entity or covered entity under hipaa.","personal health information, demographics, financial data, legal or criminal information","the case involves employee health data collected through wellness programs (biometric screenings and health risk assessments), age demographics (used in analyzing workforce costs), financial data (health insurance claims costs and analysis), and information related to legal protections under ada, adea and fmla claims including medical conditions, disability accommodations, and medical leave records.",2022,"the document is dated march 17, 2022, as indicated at the end of the expert report when the expert declares 'executed on march 17, 2022 in saint louis, missouri.'",expert witness reports,"this is clearly an expert witness report as indicated by the title 'expert witness report of elizabeth pendo. j.d.' and contains her professional analysis, opinions, and conclusions regarding spirit's policies and practices concerning employee health information.","the expert notes that while spirit provided hipaa training, this failed to address how employee health information should be protected under other applicable laws (ada, fmla) in employment contexts. the company collected extensive health data through wellness programs and leave records while simultaneously conducting layoffs, potentially using health information to identify 'expensive' employees for termination while technically complying with hipaa.","the expert report suggests spirit may have technically complied with hipaa while still misusing health information in employment decisions. the company collected detailed health data, analyzed it alongside age information, and made workforce reduction decisions during the same period, potentially using health costs as a proxy for age/disability discrimination.",yes,"this document is entirely an expert witness report by elizabeth pendo, j.d., who provides her credentials as a professor of law at saint louis university school of law, describes her background and qualifications, and offers detailed expert opinions on spirit's policies and practices regarding employee health information in relation to age and disability discrimination laws.",claude
doc-8-20,federal court,"the document header indicates this is a united states district court, e.d. missouri case (eastern district of missouri federal court).",healthcare provider vs. healthcare provider,"the case is between washington university (plaintiff) and william j. catalona, et al. (defendants). washington university is a medical institution, and dr. catalona appears to be a physician/researcher previously employed by washington university.",personal health information,"the case involves tissue samples, blood specimens, and other biological materials collected from patients for medical research. these are discussed throughout the testimony as being collected, stored, and potentially transferred between institutions.",2005,"the document is dated april 11, 2005, as shown in the header of the court transcript.","expert witness reports, depositions","this is a trial transcript of testimony from dr. kenneth w. goodman, who is specifically identified as 'defendants' expert witness' in bioethics. the document contains his direct examination and cross-examination in court.","the document reveals tension between hipaa privacy requirements and human subjects research protocols, particularly regarding control of biological samples and the right to withdraw from research participation.","hipaa is discussed in relation to deidentification of samples and privacy protections. there's a disagreement about how hipaa interfaces with research protocols, particularly when participants withdraw consent and request their samples be transferred to another institution. the case raises questions about who ultimately controls biological materials after collection.",yes,"this is explicitly a trial transcript of an expert witness, dr. kenneth w. goodman, whose credentials are detailed (associate professor at university of miami, director of bioethics program). he provides expert opinions on informed consent, research ethics, and patient rights regarding biological samples.",claude
doc-9-01,state court,"this is a superior court of the virgin islands case (a territorial court which functions as a state court in the u.s. virgin islands). the document heading shows 'superior court of the virgin islands, division of st. thomas and st. john' with judge michael c. dunston presiding.",healthcare provider vs. healthcare provider,"the case involves chiropractors (dr. tylur arvidson and dr. tygue arvidson as plaintiffs against dr. william buchar and v.i. chiropractic, llc as defendants). all parties are healthcare providers/covered entities under hipaa as they are chiropractic businesses or practitioners.","personal health information, demographics","the case involves requests for patient lists, names of patients, and patient care plans from chiropractic practices. the court discusses hipaa requirements at length regarding the protection of patient information. the document specifically addresses interrogatory no. 19 (requesting identities of former patients), request for production no. 6 (patient lists), and request for production no. 8 (patient care plans).",2018,"the document is dated june 6, 2018 as shown in the heading, and the citation also includes '2018 wl 10613032'.",court rulings/decisions,this is a memorandum opinion issued by the superior court of the virgin islands ruling on two motions: a motion to compel discovery responses and a motion to add a third party.,"the case demonstrates how discovery requests in business litigation between competing healthcare providers can implicate hipaa protections. one provider (buchar) is attempting to obtain patient information from a competing practice to prove claims of patient poaching and tortious interference, while the court carefully balances discovery needs against hipaa patient privacy requirements.","the court had to determine whether to compel disclosure of patient information under hipaa's discovery exceptions, requiring either patient notification or a qualified protective order. the court held its decision in abeyance pending proper hipaa compliance procedures rather than simply granting the discovery requests.",no,"this document is purely a judicial opinion ruling on discovery motions. it contains no expert testimony, reports, credentials, or vitae. the document only references the parties' legal arguments and the court's analysis of discovery issues including hipaa compliance.",claude
doc-9-02,federal court,"the document clearly identifies this as a case in the 'united states district court, e.d. pennsylvania' (eastern district of pennsylvania), which is a federal court.",individual vs. healthcare provider,"the case involves arthur steinberg and the philadelphia federation of teachers health and welfare fund (pfthw) as plaintiffs against cvs caremark corporation and cvs pharmacy, inc. as defendants. cvs pharmacy operates retail pharmacies, which qualifies them as a healthcare provider and covered entity under hipaa.","personal health information, demographics, medical information not covered by hipaa","the case centers on 'de-identified protected health information (phi)' related to prescription data. as clarified on page 336, the information involved 'a combination of medical history, prescription drugs given, dates of prescriptions, diagnoses, and physician names, lacking identifying information.' the court determined this was de-identified data that falls outside hipaa protection once stripped of identifiers.",2012,"the document is dated february 16, 2012, and the case citation is '899 f.supp.2d 331 (2012)'. the opinion was issued in 2012.",court rulings/decisions,this is a memorandum opinion and order from judge mclaughlin ruling on the defendants' motion to dismiss. the document includes legal analysis and concludes with an order granting the motion to dismiss with prejudice.,"this case highlights how hipaa's de-identification provisions can be used by healthcare entities to monetize patient data without patient consent or compensation. the court found that once prescription information is de-identified according to hipaa standards, pharmacies can legally sell this information to pharmaceutical companies and data vendors without violating privacy laws or consumer protection statutes.","the court accepted cvs's argument that once they de-identify phi, it's no longer protected by hipaa and can be sold. the court dismissed claims that consumers should have economic interest in their de-identified health information or that they suffered harm when this information was sold to third parties. this creates a gap where health information can be collected for one purpose (filling prescriptions) and then monetized through a different business model without additional consumer consent.",no,"the document is a judicial opinion that does not contain expert testimony or reports. there is a brief mention that plaintiffs might have wanted to introduce expert testimony about 're-identification risk' in a potential amended complaint, but no actual expert testimony is presented in this document.",claude
doc-9-03,federal court,"the document header clearly states 'united states district court, c.d. california' indicating this is a federal district court case in the central district of california.",individual vs. healthcare provider,"the case involves former executive employees (dennis rutherford, peter klune, and tara barth) suing palo verde health care district (pvhd), which operates palo verde hospital. pvhd is a healthcare provider and would be a covered entity under hipaa.","personal health information, demographics","the document specifically mentions that the disputed documents contained 'hospital patient records disclosing patients' names, dates of birth and medical information concerning such matters as examination results' which constitutes phi under hipaa. the demographic information (names, dates of birth) is explicitly mentioned.",2014,"the document is dated april 17, 2014 as indicated in the header ('signed 04/17/2014') and also in the citation format '2014 wl 12632901'.",court rulings/decisions,"this is a 'memorandum and order on motion for return of documents and referred discovery issues 1-4' issued by a united states magistrate judge (sheri pym), making it a court ruling on a specific motion.",hipaa is being used by the healthcare provider as a legal tool to try to retrieve documents taken by whistleblowing former executives and potentially disqualify their attorneys.,"the former executives (plaintiffs) took documents when they left pvhd that they believed evidenced illegal conduct they were reporting, including kickback schemes. pvhd is arguing these documents contain hipaa-protected information that should never have been in plaintiffs' possession after leaving employment. while the court agreed the hipaa-protected information must be returned and redacted, it found that plaintiffs could share privileged documents with their own attorneys for their wrongful termination case. this highlights tension between hipaa compliance and whistleblower protections.",no,"while the document mentions a declaration of ross a. leo submitted by defendants, the court explicitly states it 'has not relied on the conclusions mr. leo drew as to the facts and law in dispute, but has looked at the statutes and regulations cited in his declaration to draw its own conclusions.' this does not constitute substantial expert content that warrants further analysis.",claude
doc-9-04,federal court,"the document indicates it's from the 'united states district court, e.d. kentucky, london' which is a federal court (eastern district of kentucky).",individual vs. healthcare provider,"the case involves geoffrey carr (as guardian of joseph carr's estate) as plaintiff against lake cumberland regional hospital, llc (a healthcare provider/covered entity under hipaa) and dr. john husted (a physician who performed bariatric surgery).",personal health information,"the case centers around whether the hospital must disclose 'the names of patients upon whom dr. husted performed bariatric surgery.' this involves patient identities related to specific medical procedures, which constitutes protected health information under hipaa.",2017,the document states it was signed on '05/17/2017' and the citation shows '2017 wl 6211078'.,court rulings/decisions,this is a judicial order titled 'order denying lake cumberland regional hospital's motion for protective order regarding the release of patient identifying information under plaintiff's rule 30(b)(6) notice' issued by united states magistrate judge hanly a. ingram.,"the hospital attempted to use hipaa as a shield to prevent disclosure of patient information that could be relevant to proving negligence claims, when hipaa actually provides mechanisms for such disclosure through court orders. the court found the hospital's failure to address this mechanism in its motion notable.","the document shows how hipaa can be strategically invoked to potentially obstruct legitimate discovery. the court specifically noted that lcrh failed to address 45 c.f.r. § 164.512(e)(1)(i), which permits disclosure via court order. the judge determined the hospital hadn't met its burden to establish good cause for a protective order.",no,"this document is a procedural ruling on a discovery dispute regarding whether certain patient information can be disclosed under hipaa. it doesn't contain or reference any expert testimony, reports, credentials, or opinions.",claude
doc-9-05,federal court,"the document identifies the venue as 'united states district court, m.d. louisiana' and mentions a 'united states magistrate judge' (richard l. bourgeois, jr.). the case also references federal rules of civil procedure including rule 26 and rule 45.",neither party is a covered entity,the main parties are jennifer leonard (plaintiff in a personal injury lawsuit) and defendants tyler martin and wadena insurance company. neither is a hipaa covered entity. the motion involves dr. turnipseed and spine diagnostic (who would be covered entities) but they are non-parties responding to a subpoena.,"personal health information, medical information not covered by hipaa","the case involves medical records of patients who dr. turnipseed recommended for cervical neurotomies. the disputed subpoena seeks medical records, charts, bills and statements for dr. turnipseed's patients. the court is considering how to allow numerical data about treatment recommendations without violating patient privacy.",2021,"the document is dated march 16, 2021 as indicated by 'signed 03/16/2021' and '2021 wl 1015877' in the citation.",court rulings/decisions,this is an order from a united states magistrate judge ruling on a 'motion to quash and/or for protective order' filed by non-party dr. turnipseed and spine diagnostic regarding a subpoena for medical records.,"this case demonstrates a balancing act between legitimate discovery needs in litigation and hipaa privacy protections. the court found a middle ground by requiring only statistical information (number of patients recommended for procedures and number who underwent them) rather than full medical records, while ensuring patient identities remain protected.","the court acknowledged the legitimate need for discovery related to the doctor's treatment recommendations, while also respecting hipaa privacy concerns. rather than allowing either extreme (complete access to records or complete denial of information), the court crafted a tailored approach requiring only numerical data without patient identifiers.",yes,"the document references dr. turnipseed's expert medical opinions regarding cervical neurotomies for the plaintiff. it also mentions 'her economic expert' who prepared a life care plan including future medical expenses of $123,390 for cervical neurotomies. the legitimacy of dr. turnipseed's treatment recommendations is the central issue being investigated through the subpoena.",claude
doc-9-06,federal court,"the document header explicitly states 'united states district court, m.d. florida, tampa division.' m.d. florida refers to the middle district of florida, which is a federal district court.",government vs. healthcare entity,"this is a qui tam action (indicated by 'ex rel.') brought by delia bell as relator on behalf of the united states and state of florida against cross garden care center, llc (a healthcare facility) and karl e. cross. the case involves medicare and medicaid billing practices, confirming the healthcare provider is a covered entity under hipaa.",personal health information,"the document specifically discusses protected health information under hipaa, including 'patient initials, medical record numbers, and the dates of patient stays' as well as 'whether the costs of their residence and treatment at cross gardens were, at various points, covered by medicare, medicaid, or some other payment system.'",2020,"the document states it was 'signed 05/21/2020' and has a westlaw citation of '2020 wl 2573286', confirming it's from 2020.",court rulings/decisions,this is clearly a court order ruling on a motion to seal documents. it's titled 'order' and signed by united states district judge james d. whittemore.,"defendants attempted to use hipaa as justification to file their entire rule 11 motion for sanctions under seal, rather than just redacting protected health information. the court rejected this overly broad approach, finding that hipaa concerns could be addressed through redaction while still preserving public access to judicial records.",the court found that defendants' claim that redacting would make the motion 'unclear and difficult to understand' was 'speculative' and insufficient to establish good cause for complete sealing. the court balanced privacy interests with public right of access by allowing only the exhibit with actual phi to be sealed while requiring redacted public filing of the motion itself.,no,"this document is purely a procedural ruling on a motion to seal documents under hipaa privacy concerns. it contains no expert testimony, opinions, credentials, or references to expert statements. it focuses exclusively on whether certain documents should be sealed due to containing protected health information.",claude
doc-9-07,federal court,"the document clearly states this is a 'united states district court, e.d. california' case, which is a federal district court. it's handling a dispute related to a bankruptcy case pending in north carolina.",neither party is a covered entity,"the case involves bestwall llc (a company in bankruptcy proceedings due to asbestos claims) and dr. dana loomis (an epidemiologist who authored studies on asbestos exposure). neither is a healthcare provider, health plan, or healthcare clearinghouse that would qualify as a hipaa covered entity.",medical information not covered by hipaa,"the case involves de-identified research data from studies about asbestos exposure among textile workers. the court notes this is 'public health data' that has been anonymized and 'includes no names, exact dates of births or deaths, addresses, phone numbers, and other contact information.' the court explicitly ruled that loomis had not shown the information qualified as 'personal health information' under hipaa.",2022,"the document is dated september 6, 2022, and the citation at the bottom states '2022 wl 4082140.'",court rulings/decisions,this is a court order by chief united states district judge kimberly mueller deciding whether dr. loomis can 'claw back' a data file he produced in a related bankruptcy action.,"this case shows an attempt to use hipaa as a shield to prevent discovery of already-produced research data. dr. loomis tried to 'claw back' anonymized research data by claiming hipaa protections, despite having voluntarily produced it in response to a subpoena. the court rejected this attempt, noting he hadn't shown he was a 'covered entity' or that the de-identified data qualified as protected health information.","dr. loomis appears to have strategically invoked hipaa to try to limit discovery in a bankruptcy case related to asbestos claims, even though the court found no legitimate hipaa protection applied to the de-identified research data.",yes,"the document references dr. dana loomis as an epidemiologist who co-authored studies on asbestos exposures. it discusses his deposition and data from his research that's being used in litigation. the document mentions that the epa relied on conclusions drawn by loomis about asbestos exposures, which indicates his expert role.",claude
doc-9-08,federal court,"the document explicitly states it is from the 'united states district court, s.d. ohio, western division' which is a federal district court.",neither party is a covered entity,"the case involves michele wilkinson et al. as plaintiffs against greater dayton regional transit authority (gdrta), which is a public transit authority. neither party appears to be a healthcare provider, health insurance plan, or other hipaa covered entity. this appears to be an employment-related class action.","personal health information, financial data","the document repeatedly refers to 'protected information' which includes 'confidential financial and health information'. the court specifically mentions concerns about employee medical documentation, health conditions, medical symptoms, prognosis, and treatment schedules that need protection. the protective order is designed to keep this information private.",2013,"the document is dated april 8, 2013, as shown in the header and citation information. the westlaw citation also indicates 2013 (2013 wl 1411055).",court rulings/decisions,"this is clearly identified as a 'decision, entry, and order' issued by united states chief magistrate judge sharon l. ovington, ruling on plaintiffs' motion to modify a protective order.","while hipaa isn't directly applicable in this case, the court rejected plaintiffs' attempt to use hipaa's de-identification standards as a model for filing sensitive documents, finding that de-identification alone wouldn't adequately protect employee privacy in a workplace where coworkers know personal details about each other.","the plaintiffs tried to use hipaa standards as guidance even though they acknowledged hipaa didn't apply. they argued for using 'substitute identifiers' (like john doe #1) when filing documents, claiming this would adequately protect privacy. the court rejected this approach, noting that in a small workplace where employees know each other, de-identified health information could still easily be linked to specific individuals.",no,"this document is a judicial ruling on a procedural matter (modification of a protective order) and contains no expert witness testimony, reports, or credentials. it only presents the judge's reasoning and decision on handling protected information in court filings.",claude
doc-9-09,federal court,"the case was heard in the 'united states district court, s.d. new york' as indicated in the header of the document. s.d. new york refers to the southern district of new york, which is a federal district court.",individual vs. healthcare provider,"the case involves robert zani (an individual) suing rite aid headquarters corp. as stated in the document, rite aid operates pharmacies which are considered covered entities under hipaa, and the case discusses their status as a 'covered entity' or 'business associate' under hipaa regulations.","personal health information, medical information not covered by hipaa","the case involves rite aid making automated calls about flu shot availability to patients who had previously received flu shots. the document mentions patient information including phone numbers provided during pharmacy visits, prescription information, and vaccination history. the court discusses whether this type of communication constitutes a 'health care message' under hipaa regulations.",2017,the document is dated 'signed 03/30/2017' as indicated in the header of the court opinion.,court rulings/decisions,"this is a court opinion/ruling as evidenced by the formal court caption, the analysis of legal issues, citations to regulations and case law, and conclusion with 'so ordered' signed by judge alison j. nathan.","this case demonstrates how a healthcare entity used hipaa's 'health care message' exemption to defend against telephone consumer protection act liability for automated calls, effectively leveraging hipaa regulations to justify communications that might otherwise require stricter consent.","rite aid strategically argued that its automated flu shot reminder calls qualified as 'health care messages' under hipaa to exempt them from the stricter 'prior express written consent' requirement of the tcpa. the court agreed, finding that because the calls conveyed health care messages, they only required prior express consent, not prior express written consent, even though they had marketing elements.",no,"while the document references testimony from rite aid employees (including a senior director of field clinical services) and declarations, these appear to be factual witnesses rather than expert witnesses offering specialized opinions. they are providing information about rite aid's operations and practices, not expert analysis or opinions that would qualify as expert testimony.",claude
doc-9-10,federal court,"the document clearly states 'united states district court, e.d. california' which indicates this is a federal district court case in the eastern district of california.",individual vs. healthcare provider,the case involves johnny earl evans (a prisoner) versus prison officials including tilton. the court states 'the court presumes that: 1) cdcr and corcoran state prison are a covered entity' indicating the prison health system is functioning as a healthcare provider under hipaa.,"personal health information, legal or criminal information","the case centers on the plaintiff's medical records that were used by defendants in their summary judgment motion. the court explicitly mentions 'plaintiff's health information is protected under hipaa.' additionally, since the plaintiff is a prisoner, his criminal record information is implicit in the case context.",2010,"the document is clearly dated 'sept. 16, 2010' as shown in the header section of the court filing.",court rulings/decisions,"this is a judicial order regarding a motion to strike exhibits, specifically titled 'order regarding plaintiff's motion to strike defendants' exhibits' and 'order sealing defendants' exhibit e' signed by united states magistrate judge dennis l. beck.","the court notes that prison officials have taken inconsistent positions regarding medical records - claiming they lack possession when it's disadvantageous to them, but then using these same records to support their own motions. the court explicitly states it has 'no tolerance for such practices' and that 'defendants cannot claim a lack of possession as a means of avoiding disclosure, and then obtain possession when convenient for their purposes.'","the footnote explicitly calls out the defendants' inconsistent approach to medical records, suggesting they strategically claim inability to access records during discovery but then mysteriously obtain them when needed for their defense. the court found hipaa violations in how defendants obtained and used plaintiff's medical records but still allowed them as evidence while implementing protective measures.",no,"this document is strictly a court ruling on procedural matters regarding exhibits in a summary judgment motion. there is no mention of expert witnesses, expert testimony, or professional credentials being presented. the ruling focuses solely on hipaa compliance issues with medical records.",claude
doc-9-11,federal court,"the document states this is a 'united states district court, c.d. california' case, which is a federal district court. the case number format (cv 16-08602 sjo) is also consistent with federal court nomenclature.",government vs. healthcare entity,"the city of pasadena (a government entity) is seeking medical records from huntington memorial hospital (hmh), which is a healthcare provider and hipaa covered entity. this is a motion to compel hmh to produce medical records of the decedent reginald thomas in a case originally between shainie lindsey (and others) against the city of pasadena.","personal health information, legal or criminal information","the case involves medical records, x-ray records, and billing records of the deceased reginald thomas. the document specifically mentions mental health information, stating the decedent was allegedly in a 'mental health crisis' during the incident. the context suggests this is a wrongful death action potentially involving law enforcement, which implies legal/criminal information is also relevant.",2018,"the document is dated january 9, 2018 ('filed 01/09/2018') and the westlaw citation indicates '2018 wl 6164262'. the case appears to have been originally filed in 2016 based on the case number (cv 16-08602), but this specific court order is from 2018.",court rulings/decisions,this is a 'minute order granting motion to compel third party huntington memorial hospital to produce medical records' issued by u.s. magistrate judge rozella a. oliver. it's a judicial decision on a discovery dispute.,"this case illustrates how hipaa protections can be balanced against litigation needs, especially when the plaintiffs themselves have placed the decedent's health at issue. the court found that psychotherapist-patient privilege was waived because the complaint alleged the decedent was suffering from a 'mental health crisis,' thus directly putting his mental health condition at issue.","the court balanced privacy interests against evidentiary needs, issuing a qualified protective order to safeguard the medical information while allowing its use in litigation. the court rejected hmh's request for automatic sealing provisions, noting they must specifically request court permission to file under seal.",no,"this document is a court order ruling on a discovery dispute regarding medical records. it contains only the judge's legal analysis and ruling, without any expert opinions, testimony, or credentials being presented. the decision is based on legal arguments about hipaa compliance and privilege, not expert testimony.",claude
doc-9-12,federal court,"the document states this is a case in the 'united states district court, c.d. california' (central district of california), which is a federal court.",neither party is a covered entity,the case involves m.h. as plaintiff against city of san bernardino and police officers. the discovery dispute is about obtaining probation records from san bernardino county probation department (non-party). none of these entities appear to be healthcare providers or other hipaa covered entities.,"personal health information, legal or criminal information, medical information not covered by hipaa","the subpoena seeks the deceased's probation records including 'medical records and treatment, mental health care records and treatment' as well as criminal/legal information such as 'booking and intake records, screening forms, abstracts of judgment, movement and transfer history, disciplinary records and appeals, grievances filed.'",2020,"the document is dated september 25, 2020 and the citation shows '2020 wl 6595013'.",court rulings/decisions,this is an 'order granting defendants' motion to compel non-party san bernardino county probation department to comply with subpoena duces tecum' signed by a united states magistrate judge.,"this case shows hipaa being used by a non-party government entity to resist discovery in a wrongful death case. the court found the existing protective order satisfied hipaa requirements, overruling the objection while still protecting privacy interests.","san bernardino county probation department cited hipaa as grounds to refuse producing a deceased person's records in a wrongful death lawsuit. the court determined the protective order met hipaa's 'qualified protective order' requirements, allowing disclosure while maintaining privacy protections.",no,"this document is a court order resolving a discovery dispute. it does not contain expert testimony, credentials, or opinions - only the judge's legal analysis and ruling on the motion to compel.",claude
doc-9-13,federal court,"the document header identifies this as 'united states district court, m.d. florida, ft. myers division.' m.d. refers to the middle district of florida, which is a federal district court.",individual vs. healthcare provider,"the case involves joyce christie (individually and on behalf of the estate of nicholas t. christie) as plaintiff against multiple defendants including prison health services, inc., which is identified as a healthcare provider for inmates at lee county jail. phs would be a covered entity under hipaa.","personal health information, legal or criminal information","the case involves medical records of inmates at lee county jail, including those related to the death of nicholas christie. the court discusses hipaa considerations regarding these records in footnote 1, and mentions redaction of personal health information. the legal/criminal information is relevant as the records pertain to inmates and pre-trial detainees.",2011,"the document is dated august 18, 2011, as indicated in 'signed 08/18/2011' near the beginning and confirmed at the end with 'done and ordered in chambers in ft. myers, florida this 18th day of august, 2011.'",court rulings/decisions,"this is a court order issued by united states magistrate judge douglas n. frazier ruling on the plaintiff's motion to compel prison health services, inc. to produce documents and respond to interrogatories in discovery.","prison health services attempted to use both medical peer review privilege and physician-patient privilege alongside hipaa concerns to avoid producing documents in discovery, but the court rejected these arguments, noting that properly redacted health information can be produced without violating hipaa.","the court specifically addressed this in footnote 1: 'the court agrees that as long as the requested health information documents are redacted to protect the confidentiality of the patients, the documents are discoverable and their production does not violate hipaa.' phs appeared to be using privacy concerns strategically to avoid discovery in a wrongful death case.",no,"this document is a court order addressing discovery disputes. it contains no expert testimony, credentials, or expert opinions. it only lists attorneys representing the parties and the magistrate judge's ruling on discovery matters.",claude
doc-9-14,federal court,"the document is from the united states district court, southern district of new york, as indicated in the header ('united states district court, s.d. new york'). district courts are federal courts.",neither party is a covered entity,"the case involves emts, paramedics, and their union (local 2507) as plaintiffs against the city of new york and fdny commissioners as defendants. this is primarily an employment retaliation case where emts were disciplined allegedly for hipaa violations after speaking to media, not a direct hipaa enforcement action between covered entities.","personal health information, medical information not covered by hipaa","the case discusses protected health information (phi) under hipaa that the emts allegedly exposed when allowing media to film patient care. the document mentions various patient identifiers including 'exterior and interior of the residence, which could reasonably lead to the identification of the patient,' 'patient's face and body was visible,' 'type of treatment was visible,' and 'death was revealed.' the case also involves emts' general comments about their experiences during covid-19 which wouldn't necessarily constitute phi.",2022,"the document is dated july 8, 2022, as indicated in the header where it states 'signed july 8, 2022'.",court rulings/decisions,"this is an 'opinion and order' from judge lewis j. liman regarding motions for summary judgment in the case, making it a court ruling/decision.",this case presents an interesting situation where hipaa may have been strategically used as a pretext for employee discipline after emts spoke to media about pandemic working conditions.,the emts and paramedics argued that their employer used alleged hipaa violations as a pretext for disciplining them after they spoke to media about their experiences during covid-19. the court found sufficient evidence to allow a jury to decide whether the hipaa concerns were genuine or whether they masked retaliatory action for protected speech. this suggests hipaa might have been strategically invoked to silence employees speaking about working conditions during a public health crisis.,no,"the document is a court ruling that analyzes legal questions related to first amendment retaliation and due process claims. while it references testimony from various individuals involved in the case (like velez, palazzolo, and others), these are fact witnesses rather than expert witnesses. no expert opinions or credentials are presented in this document.",claude
doc-9-15,federal court,"the document header clearly states 'united states district court, d. connecticut' which is a federal district court.",business associate of covered entity,"the case involves meredith bacewicz (plaintiff) and molecular neuroimaging, llc (defendant). mni appears to be a company that processes brain scans for clinical studies sponsored by pharmaceutical companies like lily, making it likely a business associate that provides services to covered entities under hipaa.",personal health information,"the case involves brain scans of study participants, which are medical images that would constitute phi under hipaa. the document specifically discusses whether these brain scan images contain personally identifiable health information, with mni attempting to seal photographs of participant scans claiming hipaa violations.",2019,the document citation shows '2019 wl 10630387' and the document indicates it was signed on '11/06/2019'.,court rulings/decisions,this is clearly a court ruling as indicated by the title 'ruling on motions to seal' and contains the judge's decision and reasoning regarding mni's requests to seal various documents in the case.,"mni appears to be using hipaa as a shield to prevent disclosure of potentially improper practices in clinical trials by attempting to have court documents sealed under the guise of protecting patient privacy, despite the court finding the information was properly de-identified.","mni tried to use hipaa as justification to seal documents that contained allegations of data manipulation and protocol violations in clinical studies. the court rejected this argument noting that the brain scan images were de-identified and contained no personally identifiable information, citing that 'de-identified health information is not protected under hipaa.'",no,"this document is solely a judicial ruling on motions to seal and does not contain any expert testimony, opinions, or credentials. it only contains the judge's legal analysis and decision regarding whether certain documents should be sealed from public view.",claude
doc-9-16,federal court,"the document is from the united states district court for the district of kansas, which is a federal court. this is clearly indicated in the header and throughout the document with references to federal rules and procedures.",individual vs. health insurance plan,"the case involves bedivere insurance company and allied world specialty insurance company as plaintiffs against blue cross and blue shield of kansas, inc. and blue cross blue shield association as defendants. the blue cross entities are health insurance plans which are covered entities under hipaa.","personal health information, demographics, financial data","the protective order extensively defines 'confidential health information' to include protected health information under hipaa, medical records, claims information, and patient identifiers. it specifically mentions medical bills, claims forms, patient identifiers (demographics), and payment records (financial data). section 4 of the order details protected health information including biometric identifiers and identifiable health information.",2020,"the document shows 'signed 03/09/2020' and cites '2020 wl 1140394' indicating it was issued in 2020, although it references earlier related orders from 2016 and 2004.",court rulings/decisions,"this is an 'agreed protective order' signed by a u.s. magistrate judge (james p. o'hara). it's a formal court order establishing procedures for handling confidential information, particularly health information, during the litigation process.",,"the document doesn't indicate problematic use of hipaa. rather, it shows a standard approach to managing protected health information in litigation, with detailed provisions for different levels of confidentiality (confidential, highly confidential - attorneys' eyes only, and highly confidential - outside counsel only) to balance discovery needs with privacy protections.",no,"the document is a procedural protective order that establishes rules for handling confidential information. while it references provisions for experts who might receive confidential information (including an 'attachment b' form for experts to sign), it doesn't contain any actual expert testimony, opinions, or credentials.",claude
